Problem,Fluted LRS,Vampire LRS,Fluted OTT,Vampire OTT
COM005-1,300.002,300.002,300.001,300
COM006-1,300.001,300,300.001,300
KRS004-1,0.002,0.001,0.002,0.001
PUZ029-1,0.486,0.001,0.507,0.001
SYN002-1.007.008,0.001,0.001,0.002,0.001
SYN012-1,0,0,0.002,0
SYN035-1,0,0,0,0
SYN048-1,0.001,0,0,0
SYN049-1,0,0,0.001,0
SYN057-1,0,0,0,0
SYN060-1,0,0,0.001,0
SYN061-1,0,0.001,0.001,0
SYN062-1,0,0,0.001,0
SYN064-1,0,0,0.001,0
SYN081-1,0,0,0,0
SYN095-1.002,0,0,0.001,0
SYN096-1.008,300.001,300,330,330
SYN099-1.003,0.002,0.001,0.004,0.002
SYN100-1.005,300,300,330,330
SYN316-1,0.001,0.001,0.035,0.002
SYN328-1,300,126.619,300.002,22.008
SYN333-1,0.001,0.001,0.004,0
SYN334-1,0,0,0,0